ID,Unit_ID,Spr_ID,Wording,Fulltext
de_pr_el_13_070002.txt,Spr04,15707,"Der Kreisvorsitzende aus Krefeld, Phillip Bodewig","Der Kreisvorsitzende aus Krefeld, Phillip Bodewig, sprach sein Entsetzen ueber die von Duisburg-Rheinhausen aus bundesweit agierende Klau-Kids-Bande aus und schilderte einige Vorfaelle. So wurde erst vor kurzem erneut eine aeltere Dame Opfer brutalster Gewalt, als die Klau-Kids-Bande die Frau ausraubte und so schubste, dass die Frau noch heute im Krankenhaus liegt."
de_pr_el_13_070002.txt,Spr05,15707,"Spitzenkandidat der NPD-NRW zur Bundestagswahl, Claus Cremer","Neben Haendelkes, Waechter, Bodewig und Haliti sprach auch der Landesvorsitzende und Spitzenkandidat der NPD-NRW zur Bundestagswahl, Claus Cremer. Cremer ging mit den Etablierten sehr hart, aber stets sachlich, ins Gericht und stellte die Forderungen der Nationaldemokraten vor:"
de_pr_el_13_090041.txt,Journ,15809,,
de_pr_el_13_090041.txt,Spr01,15013,"Bernd Lucke, Sprecher der Alternative fuer Deutschland (AfD)","Bernd Lucke, Sprecher der Alternative fuer Deutschland (AfD), nennt die Aeusserungen des SPD-Politikers zynisch. Ausgerechnet die SPD warne nun vor den, auf die Buerger zukommenden Kosten. Dabei sind es doch gerade die Sozialdemokraten, die sich noch mehr Hilfen, Eurobonds und Rettungsmechanismen auf die Fahnen geschrieben haben. Anstatt nun endlich echte Oppositionsarbeit zu betreiben und sich der angeblich alternativlosen Politik Merkels und Schaeubles in den Weg zu stellen, versuche die SPD nur die skeptische Stimmung im Land auf ihre Wahlkampfmuehlen umzulenken. Zeitgleich aber forciere sie auch noch die Milliardenverschwendung zugunsten Griechenlands, so der AfD-Sprecher."
de_pr_el_13_090026.txt,Journ,15809,,
de_pr_el_13_090026.txt,Spr01,15013,"Bernd Lucke, Sprecher der Alternative fuer Deutschland","Das dritte Griechenlandhilfspaket, das Bundesfinanzminister Schaeuble heute angekuendigt hat, wird eine reine Schenkung, erklaert Bernd Lucke, Sprecher der Alternative fuer Deutschland. Griechenlands Schuldentragfaehigkeit liegt bei maximal 100 Milliarden Euro, die griechische Staatsschuld betraegt aber bereits jetzt 350 Milliarden Euro. Ein Schuldenschnitt ist daher nach Ansicht aller Experten unvermeidlich. Der Bundesfinanzminister raeume aber nur genau soviel ein, wie unbedingt notwendig. Davon die Karten auf den Tisch zu legen und der Bevoelkerung reinen Wein einzuschenken, ist er meilenweit entfernt, kritisiert Bernd Lucke Wolfgang Schaeuble scharf. Dieser hatte auf einer Wahlkampfveranstaltung eingeraeumt, dass Griechenland ein neues Hilfsprogramm brauchen werde. Bisher galt die Sprachregelung, dass sich die Regierung hier alle Optionen offen halten, um die griechischen Reformanstrengungen nicht zu schwaechen. Einen weiteren Schuldenschnitt fuer das krisengebeutelte Land werde es aber nicht geben, so der Bundesfinanzminister."
de_pr_el_13_090026.txt,Spr02,15029,Bundesfinanzminister,"Das dritte Griechenlandhilfspaket, das Bundesfinanzminister Schaeuble heute angekuendigt hat, wird eine reine Schenkung, erklaert Bernd Lucke, Sprecher der Alternative fuer Deutschland. Griechenlands Schuldentragfaehigkeit liegt bei maximal 100 Milliarden Euro, die griechische Staatsschuld betraegt aber bereits jetzt 350 Milliarden Euro. Ein Schuldenschnitt ist daher nach Ansicht aller Experten unvermeidlich. Der Bundesfinanzminister raeume aber nur genau soviel ein, wie unbedingt notwendig. Davon die Karten auf den Tisch zu legen und der Bevoelkerung reinen Wein einzuschenken, ist er meilenweit entfernt, kritisiert Bernd Lucke Wolfgang Schaeuble scharf. Dieser hatte auf einer Wahlkampfveranstaltung eingeraeumt, dass Griechenland ein neues Hilfsprogramm brauchen werde. Bisher galt die Sprachregelung, dass sich die Regierung hier alle Optionen offen halten, um die griechischen Reformanstrengungen nicht zu schwaechen. Einen weiteren Schuldenschnitt fuer das krisengebeutelte Land werde es aber nicht geben, so der Bundesfinanzminister."
de_pr_el_13_021109.txt,Journ,15802,,
de_pr_el_13_021109.txt,Spr01,15702,"wirtschaftspolitische Sprecher der  / CDU/CSU-Bundestagsfraktion, Joachim Pfeiffer","Hierzu erklaeren der wirtschaftspolitische Sprecher der  / CDU/CSU-Bundestagsfraktion, Joachim Pfeiffer, und der "
de_pr_el_13_021109.txt,Spr02,15702,"energiepolitische Koordinator, Thomas Bareiss","energiepolitische Koordinator, Thomas Bareiss:"
au_pr_el_13_050075.txt,Journ,11803,,
au_pr_el_13_050075.txt,Spr01,11702,Bundesobmann der / Freiheitlichen Arbeitnehmer (FA) LAbg. Bernhard Roesch,"Kaske lediglich Floskeln uebrig"", meint der Bundesobmann der / Freiheitlichen Arbeitnehmer (FA) LAbg. Bernhard Roesch anlaesslich einer"
au_pr_el_13_110129.txt,Journ,11811,,
au_pr_el_13_110129.txt,Spr01,11018,Frank Stronach,"Frank Stronach heute Glueckwuensche nach Tirol: ""Ich wuensche auch dem"
au_pr_el_13_041094.txt,Journ,11804,,
au_pr_el_13_041094.txt,Spr01,11704,"Menschenrechtssprecherin der / Gruenen, Alev Korun","Dublin-II-Abkommen"", kritisiert die Menschenrechtssprecherin der / Gruenen, Alev Korun. "
au_pr_el_13_060050.txt,Journ,11806,,
au_pr_el_13_060050.txt,Spr01,11024,BZOe-Justizsprecher Abg. Gerald Grosz,"kommt heute von BZOe-Justizsprecher Abg. Gerald Grosz. ""Stronach ist jetzt"
au_pr_el_13_020073.txt,Journ,11802,,
au_pr_el_13_020073.txt,Spr01,11703,"OeVP-Sicherheitssprecher im EU-Parlament,  / Hubert Pirker","Massnahmen"", fordert der OeVP-Sicherheitssprecher im EU-Parlament,  / Hubert Pirker, im Rahmen eines Expertenhearings zur Aufklaerung der "
au_pr_el_13_020073.txt,Spr02,11911,EU-Innenkommissarin Cecilia Malmstroem,"sowohl EU-Innenkommissarin Cecilia Malmstroem, als auch Europol-Chef "
au_pr_el_13_020073.txt,Spr03,11911,Europol-Chef  / Rob Wainwright,"sowohl EU-Innenkommissarin Cecilia Malmstroem, als auch Europol-Chef  / Rob Wainwright, als auch die SWIFT-Repraesentantin Blanche Petre. "
au_pr_el_13_020073.txt,Spr04,11905,SWIFT-Repraesentantin Blanche Petre,"Rob Wainwright, als auch die SWIFT-Repraesentantin Blanche Petre. "
au_pr_el_13_010304.txt,Journ,11801,,
au_pr_el_13_010304.txt,Spr01,11701,SPOe-Sozialsprecherin Renate Csoergits,"SPOe-Sozialsprecherin Renate Csoergits bekraeftigt daher, dass die SPOe"
au_pr_el_13_060075.txt,Journ,11806,,
au_pr_el_13_060075.txt,Spr01,11054,BZOe-Buendnissprecher Abg. Mag. Rainer Widmann,"Durch den konturlosen Faymann-Spindelegger-Kurs der letzten Jahre ist der Wirtschaftsstandort Oesterreich am Sand, denn er wurde von SPOe und OeVP weder gestaerkt noch zukunftsfit gemacht, stellte heute BZOe-Buendnissprecher Abg. Mag. Rainer Widmann zu den neuerlichen gegenseitigen rot-schwarzen Schuldzuweisungen fest. ""Es ist Realitaet, dass Oesterreich permanent im internationalen Standortwettbewerb an Boden verliert. Anstatt Oesterreich wieder an die Spitze zu bringen, streiten SPOe und OeVP und das ist fuer den Wirtschaftsstandort nicht gerade foerderlich"", so Widmann weiter."
au_pr_el_13_050211.txt,Journ,11803,,
au_pr_el_13_050211.txt,Spr01,11040,Landtagsklubobmann Mag. Hauser,"Landtagsklubobmann Mag. Hauser, ""wird geprueft ob die Mautbefreiung"
au_pr_el_13_050211.txt,Spr02,11702,Gartelgruber,Gartelgruber.
au_pr_el_13_111052.txt,Journ,11811,,
au_pr_el_13_111052.txt,Spr01,11058,Team Stronach Klubobmann Robert Lugar,eines Parlamentsklubs fordert Team Stronach Klubobmann Robert Lugar
au_pr_el_13_060078.txt,Journ,11806,,
